AccNum	Query	STitle	Species	TaxID	Lineage	PcPositive	PcIdentity	AlnLength	SAccNum	SAllSeqID	Mismatch	GapOpen	QStart	QEnd	QLength	SStart	SEnd	SLength	EValue	BitScore	PcPosOrig	Name	QueryName	ClusterID	DomArch.Pfam	DomArch.SMART	DomArch.Phobius	DomArch.Gene3D	DomArch.TMHMM	DomArch.SignalP_GRAM_POSITIVE	DomArch.SUPERFAMILY	DomArch.MobiDBLite	DomArch.TIGRFAM
WP_003400274.1	Mycobacterium	DUF721 family protein [Mycobacterium orygis]	Mycobacterium orygis	1305738	Bacteria>Actinobacteria	99.47	98.93	187	WP_003400274	ref|WP_003400274.1|	2	0	1	187	187	1	187	187	8.65e-53	176	99.47	BActino_Morygis_WP_003400274.1	Mycobacterium	1.705	DciA			""			""	consensus disorder prediction+consensus disorder prediction	
WP_003853312.1	Mycobacterium	DUF721 domain-containing protein [Corynebacterium diphtheriae]	Corynebacterium diphtheriae	1717	Bacteria>Actinobacteria	45.46	36.93	176	WP_003853312	ref|WP_003853312.1|	104	2	12	187	187	15	183	183	2.79e-35	131	48.3	BActino_Cdiphtheriae_WP_003853312.1	Mycobacterium	4.17	DciA			""			""	consensus disorder prediction	
WP_003855338.1	Mycobacterium	MULTISPECIES: DUF721 domain-containing protein [Corynebacterium]	Corynebacterium	1716	Bacteria>Actinobacteria	53.47	35.64	188	WP_003855338	ref|WP_003855338.1|	110	3	1	187	187	1	178	178	5.16e-49	166	53.19	BActino_C_WP_003855338.1	Mycobacterium	11.8	DciA			""			""	consensus disorder prediction+consensus disorder prediction	
WP_003860983.1	Mycobacterium	MULTISPECIES: DUF721 domain-containing protein [Corynebacterium]	Corynebacterium	1716	Bacteria>Actinobacteria	52.94	35.11	188	WP_003860983	ref|WP_003860983.1|	111	3	1	187	187	1	178	178	1.47e-48	165	52.66	BActino_C_WP_003860983.1	Mycobacterium	11.8	DciA			""			""	consensus disorder prediction+consensus disorder prediction	
WP_003874373.1	Mycobacterium	DUF721 family protein [Mycobacterium avium]	Mycobacterium avium	1764	Bacteria>Actinobacteria	81.28	79.77	173	WP_003874373	ref|WP_003874373.1|	35	0	15	187	187	9	181	181	9.12e-46	158	87.86	BActino_Mavium_WP_003874373.1	Mycobacterium	1.705	DciA			""			""	consensus disorder prediction+consensus disorder prediction+consensus disorder prediction	
WP_003883356.1	Mycobacterium	DUF721 family protein [Mycolicibacterium fortuitum]	Mycolicibacterium fortuitum	1766	Bacteria>Actinobacteria	76.47	66.84	187	WP_003883356	ref|WP_003883356.1|	61	1	2	187	187	11	197	197	4.07e-41	146	76.47	BActino_Mfortuitum_WP_003883356.1	Mycobacterium	1.705	DciA			""			""	consensus disorder prediction+consensus disorder prediction	
WP_003891332.1	Mycobacterium	DUF721 family protein [Mycolicibacterium smegmatis]	Mycolicibacterium smegmatis	1772	Bacteria>Actinobacteria	72.73	66.09	174	WP_003891332	ref|WP_003891332.1|	59	0	14	187	187	21	194	194	1.37e-42	150	78.16	BActino_Msmegmatis_WP_003891332.1	Mycobacterium	1.705	DciA			""			""	consensus disorder prediction+consensus disorder prediction	
WP_003899769.1	Mycobacterium	MULTISPECIES: DUF721 family protein [Mycobacterium]	Mycobacterium tuberculosis complex	77643	Bacteria>Actinobacteria	100	100	187	WP_003899769	ref|WP_003899769.1|;ref|NP_214518.1|	0	0	1	187	187	1	187	187	2.63e-52	174	100	BActino_Mtuberculosis_WP_003899769.1	Mycobacterium	1.705	DciA			""			""	consensus disorder prediction+consensus disorder prediction+consensus disorder prediction	
WP_003919819.1	Mycobacterium	DUF721 family protein [Mycobacterium xenopi]	Mycobacterium xenopi	1789	Bacteria>Actinobacteria	75.4	75.58	172	WP_003919819	ref|WP_003919819.1|	41	1	17	187	187	11	182	182	1.3e-40	145	81.98	BActino_Mxenopi_WP_003919819.1	Mycobacterium	1.705	DciA			""			""	consensus disorder prediction	
WP_003925642.1	Mycobacterium	DUF721 family protein [Mycolicibacterium thermoresistibile]	Mycolicibacterium thermoresistibile	1797	Bacteria>Actinobacteria	71.13	66.09	174	WP_003925642	ref|WP_003925642.1|	57	1	16	187	187	34	207	207	2.78e-37	137	76.44	BActino_Mthermoresistibile_WP_003925642.1	Mycobacterium	1.705	DciA			""			""	consensus disorder prediction+consensus disorder prediction	
WP_003930928.1	Mycobacterium	DUF721 family protein [Mycolicibacterium vaccae]	Mycolicibacterium vaccae	1810	Bacteria>Actinobacteria	68.45	63.95	172	WP_003930928	ref|WP_003930928.1|	62	0	16	187	187	19	190	190	3.11e-41	146	74.42	BActino_Mvaccae_WP_003930928.1	Mycobacterium	1.705	DciA			""			""	consensus disorder prediction+consensus disorder prediction	
WP_003942471.1	Mycobacterium	MULTISPECIES: DUF721 family protein [Rhodococcus]	Rhodococcus	1827	Bacteria>Actinobacteria	67.92	60.95	169	WP_003942471	ref|WP_003942471.1|	66	0	19	187	187	13	181	181	4.07e-44	154	75.15	BActino_R_WP_003942471.1	Mycobacterium	1.705	DciA			""			""	consensus disorder prediction+consensus disorder prediction+consensus disorder prediction	
WP_004020964.1	Mycobacterium	MULTISPECIES: DUF721 family protein [Gordonia]	Gordonia	2053	Bacteria>Actinobacteria	63.64	56.98	172	WP_004020964	ref|WP_004020964.1|	73	1	17	187	187	24	195	195	2.54e-37	137	69.19	BActino_G_WP_004020964.1	Mycobacterium	3.29	DciA			""			""	consensus disorder prediction+consensus disorder prediction+consensus disorder prediction	
WP_005064517.1	Mycobacterium	DUF721 family protein [Mycobacteroides abscessus]	Mycobacteroides abscessus	36809	Bacteria>Actinobacteria	75.94	71.26	174	WP_005064517	ref|WP_005064517.1|	50	0	14	187	187	10	183	183	5.12e-42	148	81.61	BActino_Mabscessus_WP_005064517.1	Mycobacterium	1.705	DciA			""			""	consensus disorder prediction+consensus disorder prediction+consensus disorder prediction	
WP_005087667.1	Mycobacterium	DUF721 family protein [Mycobacteroides abscessus]	Mycobacteroides abscessus	36809	Bacteria>Actinobacteria	75.94	70.69	174	WP_005087667	ref|WP_005087667.1|;ref|YP_001700762.1|	51	0	14	187	187	10	183	183	6.5e-42	148	81.61	BActino_Mabscessus_WP_005087667.1	Mycobacterium	1.705	DciA			""			""	consensus disorder prediction+consensus disorder prediction+consensus disorder prediction	
WP_005142275.1	Mycobacterium	DUF721 family protein [Mycolicibacterium rhodesiae]	Mycolicibacterium rhodesiae	36814	Bacteria>Actinobacteria	77.01	64.74	190	WP_005142275	ref|WP_005142275.1|	64	2	1	187	187	1	190	190	2.93e-44	154	75.79	BActino_Mrhodesiae_WP_005142275.1	Mycobacterium	1.705	DciA			""			""	consensus disorder prediction+consensus disorder prediction	
WP_005175996.1	Mycobacterium	DUF721 family protein [Gordonia aichiensis]	Gordonia aichiensis	36820	Bacteria>Actinobacteria	68.98	55.08	187	WP_005175996	ref|WP_005175996.1|	84	0	1	187	187	1	187	187	2.38e-37	136	68.98	BActino_Gaichiensis_WP_005175996.1	Mycobacterium	3.29	DciA			""			""	consensus disorder prediction+consensus disorder prediction	
WP_005187528.1	Mycobacterium	DUF721 family protein [Gordonia amarae]	Gordonia amarae	36821	Bacteria>Actinobacteria	64.7	60.12	168	WP_005187528	ref|WP_005187528.1|	67	0	20	187	187	20	187	187	5.69e-38	138	72.02	BActino_Gamarae_WP_005187528.1	Mycobacterium	54.1	DciA			""			""	consensus disorder prediction+consensus disorder prediction	
WP_005200395.1	Mycobacterium	DUF721 family protein [Gordonia rubripertincta]	Gordonia rubripertincta	36822	Bacteria>Actinobacteria	65.24	56.42	179	WP_005200395	ref|WP_005200395.1|	77	1	10	187	187	17	195	195	2.41e-37	137	68.16	BActino_Grubripertincta_WP_005200395.1	Mycobacterium	3.29	DciA			""			""	consensus disorder prediction+consensus disorder prediction+consensus disorder prediction+consensus disorder prediction	
WP_005205889.1	Mycobacterium	MULTISPECIES: DUF721 family protein [Gordonia]	Gordonia	2053	Bacteria>Actinobacteria	67.38	53.48	187	WP_005205889	ref|WP_005205889.1|	87	0	1	187	187	1	187	187	2.26e-37	137	67.38	BActino_G_WP_005205889.1	Mycobacterium	3.29	DciA			""			""	consensus disorder prediction+consensus disorder prediction+consensus disorder prediction	
WP_005249104.1	Mycobacterium	MULTISPECIES: DUF721 family protein [Rhodococcus]	Rhodococcus	1827	Bacteria>Actinobacteria	58.29	64.43	149	WP_005249104	ref|WP_005249104.1|	53	0	39	187	187	39	187	187	2.78e-39	141	73.15	BActino_R_WP_005249104.1	Mycobacterium	1.705	DciA			""			""	consensus disorder prediction+consensus disorder prediction+consensus disorder prediction+consensus disorder prediction	
WP_005263477.1	Mycobacterium	MULTISPECIES: DUF721 family protein [Rhodococcus]	Rhodococcus	1827	Bacteria>Actinobacteria	58.29	64.43	149	WP_005263477	ref|WP_005263477.1|	53	0	39	187	187	39	187	187	2.53e-39	141	73.15	BActino_R_WP_005263477.1	Mycobacterium	1.705	DciA			""			""	consensus disorder prediction+consensus disorder prediction+consensus disorder prediction+consensus disorder prediction	
WP_005516606.1	Mycobacterium	MULTISPECIES: DUF721 family protein [Rhodococcus]	Rhodococcus	1827	Bacteria>Actinobacteria	63.11	66.89	151	WP_005516606	ref|WP_005516606.1|	49	1	38	187	187	33	183	183	4.8e-38	138	78.15	BActino_R_WP_005516606.1	Mycobacterium	1.705	DciA			""			""	consensus disorder prediction+consensus disorder prediction+consensus disorder prediction	
WP_005623098.1	Mycobacterium	DUF721 family protein [Mycolicibacterium hassiacum]	Mycolicibacterium hassiacum	46351	Bacteria>Actinobacteria	71.66	67.84	171	WP_005623098	ref|WP_005623098.1|	49	1	23	187	187	2	172	172	7.12e-38	137	78.36	BActino_Mhassiacum_WP_005623098.1	Mycobacterium	1.705	DciA			""			""	consensus disorder prediction+consensus disorder prediction	
WP_005940445.1	Mycobacterium	DUF721 family protein [Gordonia hirsuta]	Gordonia hirsuta	53427	Bacteria>Actinobacteria	68.45	63.16	171	WP_005940445	ref|WP_005940445.1|	61	1	19	187	187	9	179	179	2.91e-42	149	74.85	BActino_Ghirsuta_WP_005940445.1	Mycobacterium	64.1	DciA			""			""	consensus disorder prediction+consensus disorder prediction+consensus disorder prediction	
WP_006061637.1	Mycobacterium	DUF721 domain-containing protein [Corynebacterium durum]	Corynebacterium durum	61592	Bacteria>Actinobacteria	45.98	38.3	188	WP_006061637	ref|WP_006061637.1|	114	2	2	187	187	3	190	190	1.22e-35	132	45.74	BActino_Cdurum_WP_006061637.1	Mycobacterium	49.1	DciA			""			""	consensus disorder prediction+consensus disorder prediction	
WP_006242298.1	Mycobacterium	DUF721 family protein [Mycolicibacterium tusciae]	Mycolicibacterium tusciae	75922	Bacteria>Actinobacteria	70.05	65.7	172	WP_006242298	ref|WP_006242298.1|	59	0	16	187	187	11	182	182	4.93e-39	141	76.16	BActino_Mtusciae_WP_006242298.1	Mycobacterium	1.705	DciA			""			""	consensus disorder prediction+consensus disorder prediction	
WP_006337449.1	Mycobacterium	DUF721 family protein [Gordonia rhizosphera]	Gordonia rhizosphera	83341	Bacteria>Actinobacteria	50.27	69.17	120	WP_006337449	ref|WP_006337449.1|	37	0	68	187	187	75	194	194	2.14e-35	132	78.33	BActino_Grhizosphera_WP_006337449.1	Mycobacterium	13.6	DciA			""			""	consensus disorder prediction+consensus disorder prediction	
WP_006361174.1	Mycobacterium	MULTISPECIES: DUF721 family protein [Gordonia]	Gordonia	2053	Bacteria>Actinobacteria	65.24	56.42	179	WP_006361174	ref|WP_006361174.1|	77	1	10	187	187	17	195	195	2.26e-37	137	68.16	BActino_G_WP_006361174.1	Mycobacterium	3.29	DciA			""			""	consensus disorder prediction+consensus disorder prediction+consensus disorder prediction+consensus disorder prediction	
WP_006368620.1	Mycobacterium	DUF721 family protein [Gordonia polyisoprenivorans]	Gordonia polyisoprenivorans	84595	Bacteria>Actinobacteria	65.25	59.65	171	WP_006368620	ref|WP_006368620.1|	67	1	19	187	187	26	196	196	2.69e-38	139	71.35	BActino_Gpolyisoprenivorans_WP_006368620.1	Mycobacterium	3.29	DciA			""			""	consensus disorder prediction+consensus disorder prediction+consensus disorder prediction	
WP_006437503.1	Mycobacterium	DUF721 family protein [Gordonia amicalis]	Gordonia	2053	Bacteria>Actinobacteria	65.24	56.42	179	WP_006437503	ref|WP_006437503.1|	77	1	10	187	187	17	195	195	1.72e-37	137	68.16	BActino_G_WP_006437503.1	Mycobacterium	3.29	DciA			""			""	consensus disorder prediction+consensus disorder prediction+consensus disorder prediction+consensus disorder prediction	
WP_006550914.1	Mycobacterium	DUF721 family protein [Rhodococcus pyridinivorans]	Rhodococcus pyridinivorans	103816	Bacteria>Actinobacteria	61.5	65.33	150	WP_006550914	ref|WP_006550914.1|	51	1	38	187	187	42	190	190	1.23e-37	137	76.67	BActino_Rpyridinivorans_WP_006550914.1	Mycobacterium	1.705	DciA			""			""	consensus disorder prediction+consensus disorder prediction	
WP_006768689.1	Mycobacterium	DUF721 domain-containing protein [Corynebacterium efficiens]	Corynebacterium efficiens	152794	Bacteria>Actinobacteria	48.13	38.2	178	WP_006768689	ref|WP_006768689.1|	108	2	12	187	187	16	193	193	5.06e-39	141	50.56	BActino_Cefficiens_WP_006768689.1	Mycobacterium	45.1	DciA			""			""	consensus disorder prediction+consensus disorder prediction	
WP_006868467.1	Mycobacterium	DUF721 family protein [Gordonia namibiensis]	Gordonia namibiensis	168480	Bacteria>Actinobacteria	64.17	57.56	172	WP_006868467	ref|WP_006868467.1|	72	1	17	187	187	24	195	195	3.64e-37	136	69.77	BActino_Gnamibiensis_WP_006868467.1	Mycobacterium	3.29	DciA			""			""	consensus disorder prediction+consensus disorder prediction+consensus disorder prediction+consensus disorder prediction	
WP_006896772.1	Mycobacterium	MULTISPECIES: DUF721 family protein [Gordonia]	Gordonia	2053	Bacteria>Actinobacteria	49.2	63.42	123	WP_006896772	ref|WP_006896772.1|	45	0	65	187	187	61	183	183	1.13e-36	135	74.8	BActino_G_WP_006896772.1	Mycobacterium	15.5	DciA			""			""	consensus disorder prediction+consensus disorder prediction	
WP_006900246.1	Mycobacterium	DUF721 family protein [Gordonia paraffinivorans]	Gordonia paraffinivorans	175628	Bacteria>Actinobacteria	68.45	54.26	188	WP_006900246	ref|WP_006900246.1|	84	2	2	187	187	9	196	196	6.16e-37	136	68.09	BActino_Gparaffinivorans_WP_006900246.1	Mycobacterium	3.29	DciA			""			""	consensus disorder prediction+consensus disorder prediction+consensus disorder prediction+consensus disorder prediction	
WP_007167020.1	Mycobacterium	MULTISPECIES: DUF721 family protein [Mycobacterium]	Mycobacterium	1763	Bacteria>Actinobacteria	83.42	72.73	187	WP_007167020	ref|WP_007167020.1|	49	1	1	187	187	1	185	185	1.12e-46	160	83.42	BActino_M_WP_007167020.1	Mycobacterium	1.705	DciA			""			""	consensus disorder prediction	
