AccNum	Query	STitle	Species	TaxID	Lineage	PcPositive	PcIdentity	AlnLength	SAccNum	SAllSeqID	Mismatch	GapOpen	QStart	QEnd	QLength	SStart	SEnd	SLength	EValue	BitScore	PcPosOrig	Name	QueryName	ClusterID	DomArch.Pfam	DomArch.SMART	DomArch.Phobius	DomArch.Gene3D	DomArch.TMHMM	DomArch.SignalP_GRAM_POSITIVE	DomArch.SUPERFAMILY	DomArch.MobiDBLite	DomArch.TIGRFAM
WP_000073168.1	AAC65054.1	MULTISPECIES: replicative DNA helicase [Bacillus]	Bacillus	1386	Bacteria>Firmicutes	63.01	38.81	438	WP_000073168	ref|WP_000073168.1|	257	3	11	437	438	5	442	449	0	683	63.01	BFirmic_B_WP_000073168.1	BSpiroc_Tpallidum_AAC65054.1	1.809	DnaB+DnaB_C	""	""	DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_001278149.1	AAC65054.1	MULTISPECIES: replicative DNA helicase [Bacillus cereus group]	Bacillus cereus group	86661	Bacteria>Firmicutes	62.1	39.54	435	WP_001278149	ref|WP_001278149.1|	252	3	14	437	438	8	442	453	0	689	62.53	BFirmic_Bcereus_WP_001278149.1	BSpiroc_Tpallidum_AAC65054.1	1.809	DnaB+DnaB_C	""	""	DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_001286145.1	AAC65054.1	replicative DNA helicase [Bacillus cereus]	Bacillus cereus	1396	Bacteria>Firmicutes	62.79	38.81	438	WP_001286145	ref|WP_001286145.1|	257	3	11	437	438	5	442	453	0	683	62.79	BFirmic_Bcereus_WP_001286145.1	BSpiroc_Tpallidum_AAC65054.1	1.809	DnaB+DnaB_C	""	""	DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_001286146.1	AAC65054.1	replicative DNA helicase [Bacillus cereus]	Bacillus cereus	1396	Bacteria>Firmicutes	62.79	38.81	438	WP_001286146	ref|WP_001286146.1|	257	3	11	437	438	5	442	453	0	684	62.79	BFirmic_Bcereus_WP_001286146.1	BSpiroc_Tpallidum_AAC65054.1	1.809	DnaB+DnaB_C	""	""	DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_001286147.1	AAC65054.1	MULTISPECIES: replicative DNA helicase [Bacillus]	Bacillus	1386	Bacteria>Firmicutes	63.01	38.81	438	WP_001286147	ref|WP_001286147.1|	257	3	11	437	438	5	442	449	0	683	63.01	BFirmic_B_WP_001286147.1	BSpiroc_Tpallidum_AAC65054.1	1.809	DnaB+DnaB_C	""	""	DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_001286148.1	AAC65054.1	MULTISPECIES: replicative DNA helicase [Bacillus]	Bacillus	1386	Bacteria>Firmicutes	62.79	39.04	438	WP_001286148	ref|WP_001286148.1|	256	3	11	437	438	5	442	453	0	686	62.79	BFirmic_B_WP_001286148.1	BSpiroc_Tpallidum_AAC65054.1	1.809	DnaB+DnaB_C	""	""	DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_001286149.1	AAC65054.1	MULTISPECIES: replicative DNA helicase [Bacillus]	Bacillus	1386	Bacteria>Firmicutes	62.79	39.27	438	WP_001286149	ref|WP_001286149.1|	255	3	11	437	438	5	442	453	0	684	62.79	BFirmic_B_WP_001286149.1	BSpiroc_Tpallidum_AAC65054.1	1.809	DnaB+DnaB_C	""	""	DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_001286239.1	AAC65054.1	MULTISPECIES: replicative DNA helicase [Bacillus cereus group]	Bacillus	1386	Bacteria>Firmicutes	62.56	38.85	435	WP_001286239	ref|WP_001286239.1|	255	3	14	437	438	8	442	449	0	682	62.99	BFirmic_B_WP_001286239.1	BSpiroc_Tpallidum_AAC65054.1	1.809	DnaB+DnaB_C	""	""	DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_001286240.1	AAC65054.1	replicative DNA helicase, partial [Bacillus cereus]	Bacillus cereus	1396	Bacteria>Firmicutes	62.1	38.93	429	WP_001286240	ref|WP_001286240.1|	251	3	14	431	438	8	436	436	0	673	63.4	BFirmic_Bcereus_WP_001286240.1	BSpiroc_Tpallidum_AAC65054.1	1.809	DnaB+DnaB_C	""	""	DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_001286241.1	AAC65054.1	MULTISPECIES: replicative DNA helicase [Bacillus]	Bacillus	1386	Bacteria>Firmicutes	62.79	38.85	435	WP_001286241	ref|WP_001286241.1|	255	3	14	437	438	8	442	449	0	683	63.22	BFirmic_B_WP_001286241.1	BSpiroc_Tpallidum_AAC65054.1	1.809	DnaB+DnaB_C	""	""	DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_001286242.1	AAC65054.1	MULTISPECIES: replicative DNA helicase [Bacillus]	Bacillus	1386	Bacteria>Firmicutes	62.79	38.85	435	WP_001286242	ref|WP_001286242.1|	255	3	14	437	438	8	442	453	0	684	63.22	BFirmic_B_WP_001286242.1	BSpiroc_Tpallidum_AAC65054.1	1.809	DnaB+DnaB_C	""	""	DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
