DB.ID	TaxID	AccNum.noV	AccNum	SeqMD5Digest	SLength	Analysis	SignDesc	StartLoc	StopLoc	Score	Status	RunDate	IPRAcc	IPRDesc	FullAccNum	ProteinName	Length	SourceDB	Completeness	Lineage	Species	Name	ShortName	LookupTblDesc	ID	Label
Coil	2053	WP_006437503	WP_006437503.1	01b33bd74be214ae23f03129c879e37f	195	Coils	Coil	29	49	-	TRUE	26-10-2021			WP_006437503.1	MULTISPECIES: DUF721 family protein [Gordonia]	195	refseq	complete	Bacteria>Actinobacteria	Gordonia	BActino_G_WP_006437503.1	Coil			Coil
Coil	2053	WP_079931973	WP_079931973.1	96117d14dc5e8e52bbbc9f94f91ed0f6	201	Coils	Coil	31	51	-	TRUE	26-10-2021			WP_079931973.1	MULTISPECIES: DUF721 family protein [Gordonia]	201	refseq	complete	Bacteria>Actinobacteria	Gordonia	BActino_G_WP_079931973.1	Coil			Coil
Coil	37329	WP_068970743	WP_068970743.1	60bbca93b397d96a2c355caecce27871	194	Coils	Coil	25	48	-	TRUE	26-10-2021			WP_068970743.1	DUF721 family protein [Nocardia farcinica]	194	refseq	complete	Bacteria>Actinobacteria	Nocardia farcinica	BActino_Nfarcinica_WP_068970743.1	Coil			Coil
Coil	272918	WP_106122681	WP_106122681.1	4f39f3ae2ef3f3b78f20f71db68efe06	187	Coils	Coil	1	21	-	TRUE	26-10-2021			WP_106122681.1	DciA family protein [Nesterenkonia sandarakina]	187	refseq	complete	Bacteria>Actinobacteria	Nesterenkonia sandarakina	BActino_Nsandarakina_WP_106122681.1	Coil			Coil
Coil	175628	WP_109237912	WP_109237912.1	e8b8f39c11b6157b7397979885c1e2ca	196	Coils	Coil	30	50	-	TRUE	26-10-2021			WP_109237912.1	DUF721 family protein [Gordonia paraffinivorans]	196	refseq	complete	Bacteria>Actinobacteria	Gordonia paraffinivorans	BActino_Gparaffinivorans_WP_109237912.1	Coil			Coil
Coil	2053	WP_004020964	WP_004020964.1	be9bdc6ad46dc0f236a9aa7caaa657d7	195	Coils	Coil	26	49	-	TRUE	26-10-2021			WP_004020964.1	MULTISPECIES: DUF721 family protein [Gordonia]	195	refseq	complete	Bacteria>Actinobacteria	Gordonia	BActino_G_WP_004020964.1	Coil			Coil
Coil	2053	WP_065630837	WP_065630837.1	41c71445a2f8eda5efe36c6d4ebfa82b	194	Coils	Coil	25	48	-	TRUE	26-10-2021			WP_065630837.1	MULTISPECIES: DUF721 family protein [Gordonia]	194	refseq	complete	Bacteria>Actinobacteria	Gordonia	BActino_G_WP_065630837.1	Coil			Coil
Coil	2053	WP_006361174	WP_006361174.1	476be010849fffa532751fc2b71e9733	195	Coils	Coil	29	49	-	TRUE	26-10-2021			WP_006361174.1	MULTISPECIES: DUF721 family protein [Gordonia]	195	refseq	complete	Bacteria>Actinobacteria	Gordonia	BActino_G_WP_006361174.1	Coil			Coil
Coil	2053	WP_010843054	WP_010843054.1	cd6657ac2eb323b2b01342e773f913fa	194	Coils	Coil	25	48	-	TRUE	26-10-2021			WP_010843054.1	MULTISPECIES: DUF721 family protein [Gordonia]	194	refseq	complete	Bacteria>Actinobacteria	Gordonia	BActino_G_WP_010843054.1	Coil			Coil
Coil	2055	WP_101820439	WP_101820439.1	d92cd3ab9f00deadeddf4d21e18322bb	195	Coils	Coil	26	49	-	TRUE	26-10-2021			WP_101820439.1	DUF721 family protein [Gordonia terrae]	195	refseq	complete	Bacteria>Actinobacteria	Gordonia terrae	BActino_Gterrae_WP_101820439.1	Coil			Coil
Coil	36822	WP_119030755	WP_119030755.1	6c4ca7cd31064b8adc6e971091e5496c	195	Coils	Coil	29	49	-	TRUE	26-10-2021			WP_119030755.1	DUF721 family protein [Gordonia rubripertincta]	195	refseq	complete	Bacteria>Actinobacteria	Gordonia rubripertincta	BActino_Grubripertincta_WP_119030755.1	Coil			Coil
Coil	36822	WP_005200395	WP_005200395.1	8619aff25c7056dcdffb68dfc87d68ff	195	Coils	Coil	29	49	-	TRUE	26-10-2021			WP_005200395.1	DUF721 family protein [Gordonia rubripertincta]	195	refseq	complete	Bacteria>Actinobacteria	Gordonia rubripertincta	BActino_Grubripertincta_WP_005200395.1	Coil			Coil
Coil	1737359	WP_096272616	WP_096272616.1	a82daf9fa880547731780f4718ad4ff3	195	Coils	Coil	29	49	-	TRUE	26-10-2021			WP_096272616.1	DUF721 family protein [Gordonia sp. 1D]	195	refseq	complete	Bacteria>Actinobacteria	Gordonia sp. 1D	BActino_Gsp._WP_096272616.1	Coil			Coil
Coil		WP_154883711	WP_154883711.1	44c794e405bc595f5b2666b83dc2aea4	195	Coils	Coil	29	49	-	TRUE	26-10-2021										WP_154883711.1	Coil			Coil
Coil	417102	WP_086536858	WP_086536858.1	b202fefeae93d59075ba0e646e2e4932	194	Coils	Coil	25	48	-	TRUE	26-10-2021			WP_086536858.1	DUF721 family protein [Gordonia lacunae]	194	refseq	complete	Bacteria>Actinobacteria	Gordonia lacunae	BActino_Glacunae_WP_086536858.1	Coil			Coil
Coil	84595	WP_006368620	WP_006368620.1	c9b40c3148313dcb2c5bb98256b40332	196	Coils	Coil	26	46	-	TRUE	26-10-2021			WP_006368620.1	DUF721 family protein [Gordonia polyisoprenivorans]	196	refseq	complete	Bacteria>Actinobacteria	Gordonia polyisoprenivorans	BActino_Gpolyisoprenivorans_WP_006368620.1	Coil			Coil
Coil	84595	WP_014358152	WP_014358152.1	5af2e6bc761f14b951e56857c84ff4b6	191	Coils	Coil	21	41	-	TRUE	26-10-2021			WP_014358152.1	DUF721 family protein [Gordonia polyisoprenivorans]	191	refseq	complete	Bacteria>Actinobacteria	Gordonia polyisoprenivorans	BActino_Gpolyisoprenivorans_WP_014358152.1	Coil			Coil
Coil	89051	WP_059039057	WP_059039057.1	d4967bc31e62bbde0f20bb7ed7e0f1bc	194	Coils	Coil	25	45	-	TRUE	26-10-2021			WP_059039057.1	DUF721 family protein [Gordonia desulfuricans]	194	refseq	complete	Bacteria>Actinobacteria	Gordonia desulfuricans	BActino_Gdesulfuricans_WP_059039057.1	Coil			Coil
Coil	158898	WP_074852310	WP_074852310.1	c0326e880f39afcc9b1c0666d915830b	195	Coils	Coil	29	49	-	TRUE	26-10-2021			WP_074852310.1	DUF721 family protein [Gordonia westfalica]	195	refseq	complete	Bacteria>Actinobacteria	Gordonia westfalica	BActino_Gwestfalica_WP_074852310.1	Coil			Coil
Coil	168480	WP_006868467	WP_006868467.1	ae424617a41b271987000596c118b8be	195	Coils	Coil	29	49	-	TRUE	26-10-2021			WP_006868467.1	DUF721 family protein [Gordonia namibiensis]	195	refseq	complete	Bacteria>Actinobacteria	Gordonia namibiensis	BActino_Gnamibiensis_WP_006868467.1	Coil			Coil
Coil	175628	WP_131734447	WP_131734447.1	2815b0bb38ff5571984925dec0758f80	196	Coils	Coil	30	50	-	TRUE	26-10-2021			WP_131734447.1	DUF721 family protein [Gordonia paraffinivorans]	196	refseq	complete	Bacteria>Actinobacteria	Gordonia paraffinivorans	BActino_Gparaffinivorans_WP_131734447.1	Coil			Coil
Coil	175628	WP_006900246	WP_006900246.1	5695035eda9b73d212e7d168ea4cdc38	196	Coils	Coil	30	50	-	TRUE	26-10-2021			WP_006900246.1	DUF721 family protein [Gordonia paraffinivorans]	196	refseq	complete	Bacteria>Actinobacteria	Gordonia paraffinivorans	BActino_Gparaffinivorans_WP_006900246.1	Coil			Coil
Coil	2657482	WP_058252997	WP_058252997.1	b84ca5d98c1d649c0bc9efc4d03e1695	194	Coils	Coil	25	48	-	TRUE	26-10-2021			WP_058252997.1	MULTISPECIES: DUF721 family protein [unclassified Gordonia]	194	refseq	complete	Bacteria>Actinobacteria	unclassified Gordonia	BActino_uGordonia_WP_058252997.1	Coil			Coil
Coil	1004901	WP_105940905	WP_105940905.1	55529673f7211740897edef8d8ec203d	178	Coils	Coil	11	31	-	TRUE	26-10-2021			WP_105940905.1	DUF721 family protein [Gordonia iterans]	178	refseq	complete	Bacteria>Actinobacteria	Gordonia iterans	BActino_Giterans_WP_105940905.1	Coil			Coil
Coil		WP_081923871	WP_081923871.1	555ff1776a37d2bdf024c0698d65a9cd	224	Coils	Coil	59	85	-	TRUE	26-10-2021										WP_081923871.1	Coil			Coil
Coil	2698900	WP_159369719	WP_159369719.1	493ac3d148c8b3a39b56cddeea4c5d93	194	Coils	Coil	25	48	-	TRUE	26-10-2021			WP_159369719.1	DUF721 family protein [Gordonia sp. JH63]	194	refseq	complete	Bacteria>Actinobacteria	Gordonia sp. JH63	BActino_Gsp._WP_159369719.1	Coil			Coil
Coil	396712	WP_159404611	WP_159404611.1	235ac1fbbab121245b78059024d990cc	195	Coils	Coil	29	49	-	TRUE	26-10-2021			WP_159404611.1	DUF721 family protein [Gordonia sp. YY1]	195	refseq	complete	Bacteria>Actinobacteria	Gordonia sp. YY1	BActino_Gsp._WP_159404611.1	Coil			Coil
