AccNum	Query	STitle	Species	TaxID	Lineage	PcPositive	PcIdentity	AlnLength	SAccNum	SAllSeqID	Mismatch	GapOpen	QStart	QEnd	QLength	SStart	SEnd	SLength	EValue	BitScore	PcPosOrig	Name	QueryName	ClusterID	DomArch.Pfam	DomArch.SMART	DomArch.Phobius	DomArch.Gene3D	DomArch.TMHMM	DomArch.SignalP_GRAM_POSITIVE	DomArch.SUPERFAMILY	DomArch.MobiDBLite	DomArch.TIGRFAM
WP_002711468.1	AIJ53045.1	replicative DNA helicase [Afipia clevelandensis]	Afipia clevelandensis	1034	Bacteria>Proteobacteria	80.24	65.08	504	WP_002711468	ref|WP_002711468.1|	167	4	1	500	501	1	499	500	0	701	79.76	BProteo_Aclevelandensis_WP_002711468.1	BProteo_Babortus_AIJ53045.1	2.174	DnaB+DnaB_C	AAA_5		DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_002716134.1	AIJ53045.1	replicative DNA helicase [Afipia felis]	Afipia felis	1035	Bacteria>Proteobacteria	81.44	67.8	500	WP_002716134	ref|WP_002716134.1|	159	2	1	500	501	1	498	498	0	688	81.6	BProteo_Afelis_WP_002716134.1	BProteo_Babortus_AIJ53045.1	2.174	DnaB+DnaB_C	AAA_5		DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_002726561.1	AIJ53045.1	replicative DNA helicase [Phaeospirillum molischianum]	Phaeospirillum molischianum	1083	Bacteria>Proteobacteria	72.46	55.07	503	WP_002726561	ref|WP_002726561.1|	218	2	3	498	501	1	502	505	0	688	72.17	BProteo_Pmolischianum_WP_002726561.1	BProteo_Babortus_AIJ53045.1	7.1	DnaB+DnaB_C	""		DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_002963606.1	AIJ53045.1	MULTISPECIES: replicative DNA helicase [Brucella]	Brucella	234	Bacteria>Proteobacteria	100	100	501	WP_002963606	ref|WP_002963606.1|	0	0	1	501	501	1	501	501	0	744	100	BProteo_B_WP_002963606.1	BProteo_Babortus_AIJ53045.1	1.637	DnaB+DnaB_C	AAA_5		DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_003496844.1	AIJ53045.1	replicative DNA helicase [Agrobacterium tumefaciens]	Agrobacterium tumefaciens	358	Bacteria>Proteobacteria	86.83	77.71	498	WP_003496844	ref|WP_003496844.1|	110	1	3	500	501	1	497	498	0	709	87.35	BProteo_Atumefaciens_WP_003496844.1	BProteo_Babortus_AIJ53045.1	1.637	DnaB+DnaB_C	AAA_5		DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_003502052.1	AIJ53045.1	MULTISPECIES: replicative DNA helicase [Rhizobium/Agrobacterium group]	Rhizobium/Agrobacterium group	227290	Bacteria>Proteobacteria	87.22	78.72	498	WP_003502052	ref|WP_003502052.1|	105	1	3	500	501	1	497	498	0	712	87.75	BProteo_Rgroup_WP_003502052.1	BProteo_Babortus_AIJ53045.1	1.637	DnaB+DnaB_C	AAA_5		DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_003512358.1	AIJ53045.1	MULTISPECIES: replicative DNA helicase [Rhizobium/Agrobacterium group]	Rhizobium/Agrobacterium group	227290	Bacteria>Proteobacteria	87.22	78.51	498	WP_003512358	ref|WP_003512358.1|	106	1	3	500	501	1	497	498	0	710	87.75	BProteo_Rgroup_WP_003512358.1	BProteo_Babortus_AIJ53045.1	1.637	DnaB+DnaB_C	AAA_5		DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_003520716.1	AIJ53045.1	MULTISPECIES: replicative DNA helicase [Rhizobium/Agrobacterium group]	Rhizobium/Agrobacterium group	227290	Bacteria>Proteobacteria	87.22	78.72	498	WP_003520716	ref|WP_003520716.1|	105	1	3	500	501	1	497	498	0	712	87.75	BProteo_Rgroup_WP_003520716.1	BProteo_Babortus_AIJ53045.1	1.637	DnaB+DnaB_C	AAA_5		DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_003531702.1	AIJ53045.1	MULTISPECIES: replicative DNA helicase [Rhizobiales]	Sinorhizobium	28105	Bacteria>Proteobacteria	89.42	81.4	500	WP_003531702	ref|WP_003531702.1|	92	1	1	500	501	1	499	499	0	725	89.6	BProteo_S_WP_003531702.1	BProteo_Babortus_AIJ53045.1	1.637	DnaB+DnaB_C	AAA_5		DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_003547022.1	AIJ53045.1	replicative DNA helicase [Rhizobium leguminosarum]	Rhizobium	379	Bacteria>Proteobacteria	86.43	77.71	498	WP_003547022	ref|WP_003547022.1|	110	1	3	500	501	1	497	498	0	703	86.95	BProteo_R_WP_003547022.1	BProteo_Babortus_AIJ53045.1	1.637	DnaB+DnaB_C	AAA_5		DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
