AccNum	Query	STitle	Species	TaxID	Lineage	PcPositive	PcIdentity	AlnLength	SAccNum	SAllSeqID	Mismatch	GapOpen	QStart	QEnd	QLength	SStart	SEnd	SLength	EValue	BitScore	PcPosOrig	Name	QueryName	ClusterID	DomArch.Pfam	DomArch.SMART	DomArch.Phobius	DomArch.Gene3D	DomArch.TMHMM	DomArch.SignalP_GRAM_POSITIVE	DomArch.SUPERFAMILY	DomArch.MobiDBLite	DomArch.TIGRFAM
WP_000073168.1	WP_078775872.1	MULTISPECIES: replicative DNA helicase [Bacillus]	Bacillus	1386	Bacteria>Firmicutes	58.34	39.55	440	WP_000073168	ref|WP_000073168.1|	255	4	13	447	468	8	441	449	0	626	62.05	BFirmic_B_WP_000073168.1	BFibrob_F_WP_078775872.1	1.786	DnaB+DnaB_C	""	""	DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_001278149.1	WP_078775872.1	MULTISPECIES: replicative DNA helicase [Bacillus cereus group]	Bacillus cereus group	86661	Bacteria>Firmicutes	58.97	39.64	444	WP_001278149	ref|WP_001278149.1|	257	4	9	447	468	4	441	453	0	637	62.16	BFirmic_Bcereus_WP_001278149.1	BFibrob_F_WP_078775872.1	1.786	DnaB+DnaB_C	""	""	DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_001286145.1	WP_078775872.1	replicative DNA helicase [Bacillus cereus]	Bacillus cereus	1396	Bacteria>Firmicutes	58.54	39.55	440	WP_001286145	ref|WP_001286145.1|	255	4	13	447	468	8	441	453	0	628	62.27	BFirmic_Bcereus_WP_001286145.1	BFibrob_F_WP_078775872.1	1.786	DnaB+DnaB_C	""	""	DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_001286146.1	WP_078775872.1	replicative DNA helicase [Bacillus cereus]	Bacillus cereus	1396	Bacteria>Firmicutes	58.54	39.55	440	WP_001286146	ref|WP_001286146.1|	255	4	13	447	468	8	441	453	0	628	62.27	BFirmic_Bcereus_WP_001286146.1	BFibrob_F_WP_078775872.1	1.786	DnaB+DnaB_C	""	""	DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_001286147.1	WP_078775872.1	MULTISPECIES: replicative DNA helicase [Bacillus]	Bacillus	1386	Bacteria>Firmicutes	58.54	39.77	440	WP_001286147	ref|WP_001286147.1|	254	4	13	447	468	8	441	449	0	628	62.27	BFirmic_B_WP_001286147.1	BFibrob_F_WP_078775872.1	1.786	DnaB+DnaB_C	""	""	DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_001286148.1	WP_078775872.1	MULTISPECIES: replicative DNA helicase [Bacillus]	Bacillus	1386	Bacteria>Firmicutes	58.54	39.77	440	WP_001286148	ref|WP_001286148.1|	254	4	13	447	468	8	441	453	0	631	62.27	BFirmic_B_WP_001286148.1	BFibrob_F_WP_078775872.1	1.786	DnaB+DnaB_C	""	""	DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_001286149.1	WP_078775872.1	MULTISPECIES: replicative DNA helicase [Bacillus]	Bacillus	1386	Bacteria>Firmicutes	58.54	39.77	440	WP_001286149	ref|WP_001286149.1|	254	4	13	447	468	8	441	453	0	629	62.27	BFirmic_B_WP_001286149.1	BFibrob_F_WP_078775872.1	1.786	DnaB+DnaB_C	""	""	DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_001286239.1	WP_078775872.1	MULTISPECIES: replicative DNA helicase [Bacillus cereus group]	Bacillus	1386	Bacteria>Firmicutes	58.54	39.77	440	WP_001286239	ref|WP_001286239.1|	254	4	13	447	468	8	441	449	0	628	62.27	BFirmic_B_WP_001286239.1	BFibrob_F_WP_078775872.1	1.786	DnaB+DnaB_C	""	""	DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_001286240.1	WP_078775872.1	replicative DNA helicase, partial [Bacillus cereus]	Bacillus cereus	1396	Bacteria>Firmicutes	57.91	39.54	435	WP_001286240	ref|WP_001286240.1|	252	4	13	442	468	8	436	436	0	618	62.3	BFirmic_Bcereus_WP_001286240.1	BFibrob_F_WP_078775872.1	1.786	DnaB+DnaB_C	""	""	DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_001286241.1	WP_078775872.1	MULTISPECIES: replicative DNA helicase [Bacillus]	Bacillus	1386	Bacteria>Firmicutes	58.54	39.77	440	WP_001286241	ref|WP_001286241.1|	254	4	13	447	468	8	441	449	0	628	62.27	BFirmic_B_WP_001286241.1	BFibrob_F_WP_078775872.1	1.786	DnaB+DnaB_C	""	""	DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_001286242.1	WP_078775872.1	MULTISPECIES: replicative DNA helicase [Bacillus]	Bacillus	1386	Bacteria>Firmicutes	58.54	39.77	440	WP_001286242	ref|WP_001286242.1|	254	4	13	447	468	8	441	453	0	630	62.27	BFirmic_B_WP_001286242.1	BFibrob_F_WP_078775872.1	1.786	DnaB+DnaB_C	""	""	DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_001286243.1	WP_078775872.1	MULTISPECIES: replicative DNA helicase [Bacillaceae]	Bacillus	1386	Bacteria>Firmicutes	58.54	39.77	440	WP_001286243	ref|WP_001286243.1|	254	4	13	447	468	8	441	449	0	628	62.27	BFirmic_B_WP_001286243.1	BFibrob_F_WP_078775872.1	1.786	DnaB+DnaB_C	""	""	DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
WP_001286244.1	WP_078775872.1	MULTISPECIES: replicative DNA helicase [Bacillus]	Bacillus	1386	Bacteria>Firmicutes	58.54	39.77	440	WP_001286244	ref|WP_001286244.1|	254	4	13	447	468	8	441	453	0	631	62.27	BFirmic_B_WP_001286244.1	BFibrob_F_WP_078775872.1	1.786	DnaB+DnaB_C	""	""	DNAb Helicase Chain A+P-loop containing nucleotide triphosphate hydrolases			N-terminal domain of DnaB helicase+P-loop containing nucleoside triphosphate hydrolases	""	DnaB
